node	root-dist	hP	hR	hF1	n	nP	nT
East	1	0.9824561403508771	0.9824561403508771	0.9824561403508771	114	112	114
NB	2	0.0	0.0	0.0	0	0	0
NL	2	0.0	0.0	0.0	0	0	0
NS	2	0.0	0.0	0.0	0	0	0
ON	2	0.9347826086956522	1.0	0.9662921348314606	20	23	20
PE	2	0.0	0.0	0.0	0	0	0
QC	2	0.9627659574468085	0.9627659574468085	0.9627659574468085	94	89	94
West	1	0.9285714285714286	1.0	0.962962962962963	26	28	26
AB	2	0.85	0.9444444444444444	0.8947368421052632	18	18	18
BC	2	0.9	1.0	0.9473684210526316	8	10	8
MB / SK	2	0.0	0.0	0.0	0	0	0
