node	root-dist	hP	hR	hF1	n	nP	nT
East	1	0.9318801089918256	0.9771428571428571	0.9539748953974895	700	719	700
NB	2	0.0	0.0	0.0	0	0	0
NL	2	0.0	0.0	0.0	0	0	0
NS	2	0.9473684210526315	1.0	0.972972972972973	17	19	17
ON	2	0.83203125	1.0	0.908315565031983	193	256	193
PE	2	0.0	0.0	0.0	0	0	0
QC	2	0.9076142131979695	0.9122448979591836	0.9099236641221373	490	430	490
West	1	0.9485066941297632	0.9603753910323254	0.9544041450777202	959	936	959
AB	2	0.8819444444444444	1.0	0.9372693726937269	226	288	226
BC	2	0.9016630513376718	0.8932664756446992	0.8974451241453761	698	593	698
MB / SK	2	0.9459459459459459	1.0	0.9722222222222222	35	37	35
